11:30 Course n° 13 Open hommes K-1 500m Éliminatoire 2,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2004 Raphael Cote,1,"1:56,88"
6,Otterburn 2007 Jacob Levesque,2,"1:58,49"
3,Trois-Rivières 2008 Bogdan Barba,3,"1:59,39"
4,Otterburn 2006 Arthur Moreau,4,"1:59,72"
2,Lachine 2008 Laurean Galatan,5,"2:05,56"
7,Pointe-Claire 2008 Marcelo De Andrade,6,"2:07,55"
8,Otterburn 2009 Emile Dubuc,7,"2:19,68"
1,Lac-Sergent 2010 Zachary Verret,8,"2:39,97"
9,,,
11:35 Course n° 14 Open hommes K-1 500m Éliminatoire 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Trois-Rivières 2004 Jeremy Lantz,1,"1:56,16"
6,Lac-Beauport 2007 Emrick Leclerc,2,"1:56,90"
4,Lac-Beauport 2001 Jerome Desrosiers-Mc Arthur,3,"1:58,36"
3,Lac-Beauport 2008 Leo Roy,4,"1:59,56"
7,Lachine 2007 Zakari Sauve,5,"2:02,27"
1,Lachine 2010 Zacharia Mansour,6,"2:20,45"
2,Cascades 2008 Emile Gauthier,7,"2:26,28"
8,Pointe-Claire 2009 Ilia Priadko,8,"2:27,94"
9,,,
11:40 Course n° 15 Open hommes K-1 500m Éliminatoire 4,,,
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2004 Vladimir Demishkevich,1,"1:59,03"
6,Lac-Beauport 2007 Xavier Hebert,2,"1:59,29"
5,Cascades 2006 Leo Carmichael,3,"2:00,80"
3,Trois-Rivières 2008 Benjamin Pelletier,4,"2:04,92"
7,Sherbrooke 2008 Sebastian Sarateanu,5,"2:07,10"
2,Shawinigan 2010 Yanik Gravel,6,"2:11,54"
8,Lac-Beauport 2009 Jacob Cote,7,"2:13,17"
1,Cascades 2010 Julian Slavin,8,"2:44,62"
9,,,
11:45 Course n° 16 Open hommes K-1 500m Éliminatoire 5,,,
Couloir,Club Équipage,Résultats,Temps
6,Lac-Beauport 2007 Louis Enzo Roy,1,"1:59,81"
5,Pointe-Claire 2005 Cedric Liu,2,"2:00,80"
3,Lac-Beauport 2009 Victor Girard,3,"2:01,41"
4,Trois-Rivières 2006 Felix Albert,4,"2:03,43"
7,Trois-Rivières 2009 Andrew Emond,5,"2:07,61"
2,Otterburn 2009 Alex Doyon,6,"2:13,56"
8,Cascades 2009 Lukas Manning,7,"2:26,08"
1,Sherbrooke 2010 Eloic Theberge,8,"2:31,51"
9,,,
11:50 Course n° 17 Open hommes K-1 500m Éliminatoire 6,,,
Couloir,Club Équipage,Résultats,Temps
5,Trois-Rivières 2005 Jeremy Pelletier,1,"1:58,64"
4,Pointe-Claire 2006 Emile Paquette,2,"1:59,40"
3,Lac-Beauport 2007 Benjamin Gaudet,3,"2:00,49"
6,Lac-Beauport 2007 Julien Pomerleau,4,"2:00,80"
7,Lachine 2008 Remi Loisel,5,"2:05,18"
2,Lac-Beauport 2007 Zachary Tremblay,6,"2:06,01"
1,Otterburn 2010 Billy Liu,7,"2:19,39"
8,Pointe-Claire 2010 Benjamin Dube,8,"2:33,96"
9,,,
