13:20 Course n° 22 Open femmes K-1 500m Semi finale 2,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Lachine 2002 Allie Wang,1,"2:17,860"
4,Trois-Rivières 2006 Mathilde Patry,2,"2:19,470"
6,Sherbrooke 2008 Victoria Lavallee Latour,3,"2:23,310"
1,Cartierville 2009 Noemie Brunette,4,"2:26,650"
7,Lachine 2004 Beatrice Charbonneau-Morin,5,"2:27,770"
8,Lachine 2006 Clara Blanchette,6,"2:29,730"
2,Otterburn 2008 Clara Meuleau,7,"2:30,700"
3,Lac-Beauport 2010 Maite Leger,8,"2:32,120"
9,Lac-Beauport 2010 Lily Jobin,9,"2:42,040"
13:25 Course n° 23 Open femmes K-1 500m Semi finale 3,,,
Couloir,Club Équipage,Résultats,Temps
4,Lachine 2004 Ariane Loisel,1,"2:16,810"
3,Lachine 2004 Calina Bidal,2,"2:18,240"
2,Trois-Rivières 2007 Maika St-Yves,3,"2:20,750"
7,Sherbrooke 2006 Anna-Mariya Izmaylova,4,"2:21,650"
6,Otterburn 1992 Claudine Courteau-Godmaire,5,"2:23,820"
5,Lac-Beauport 2008 Margaux Loyer,6,"2:24,680"
8,Sherbrooke 2007 Megan Champagne,7,"2:26,280"
1,Sherbrooke 2008 Daphnee Champagne,8,"2:26,880"
9,Lac-Sergent 2009 Eloise Hebert,9,"2:34,170"
13:30 Course n° 24 Open femmes K-1 500m Repêchage 1,,,
Couloir,Club Équipage,Résultats,Temps
3,Pointe-Claire 2009 Sarah-Maude Barrette,1,"2:31,590"
4,Cartierville 2008 Laura Desjardins,2,"2:34,490"
7,Lac-Sergent 2010 Melyna Cassista,3,"2:35,740"
6,Lac-Beauport 2008 Marie-Odile Levesque,4,"2:39,920"
2,Otterburn 2010 Gaelle Doucet,5,"2:40,660"
8,Pointe-Claire 2008 Sophia Moise Dos Santos,6,"2:42,340"
5,Lac-Sergent 2009 Sarah-Jeanne Boucher,DNF,
1,,,
9,,,
13:35 Course n° 25 Open femmes K-1 500m Repêchage 2,,,
Couloir,Club Équipage,Résultats,Temps
4,Sherbrooke 2009 Charlie Leclerc,1,"2:35,610"
6,Sherbrooke 2008 Payton Winsor,2,"2:39,820"
3,Lac-Beauport 2010 Clarence Dennie-Vaudreuil,3,"2:40,730"
2,Pointe-Claire 2006 Kaiya Leah Schade,4,"2:43,730"
8,Trois-Rivières 2010 Camille Pelletier,5,"2:44,520"
5,Otterburn 2010 Maelie Boulay,6,"2:44,560"
7,Sherbrooke 2008 Marguerite Gareau,7,"2:50,240"
1,Lac-Sergent 2010 Marilou Lessard,8,"2:53,227"
9,,,
