17:00 Course n° 47 Open hommes K-1 500m finale 5,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
4,Lac-Beauport 2008 Tristan Dennie-Vaudreuil,1,"2:17,60"
3,Otterburn 2010 Billy Liu,2,"2:21,11"
6,Otterburn 2009 Emile Dubuc,3,"2:21,94"
5,Lachine 2010 Zacharia Mansour,4,"2:22,32"
7,Cascades 2009 Lukas Manning,5,"2:27,92"
8,Pointe-Claire 2009 Ilia Priadko,6,"2:31,86"
1,Cascades 2008 Emile Gauthier,7,"2:32,51"
2,Pointe-Claire 2010 Benjamin Dube,8,"2:33,85"
9,Sherbrooke 2010 Eloic Theberge,9,"2:36,86"
17:05 Course n° 48 Open hommes K-1 500m finale 4,,,
Couloir,Club Équipage,Résultats,Temps
6,Pointe-Claire 2008 Marcelo De Andrade,1,"2:05,01"
5,Trois-Rivières 2005 Antoine Duval,2,"2:05,10"
7,Lachine 2008 Laurean Galatan,3,"2:05,62"
4,Lac-Beauport 2007 Zachary Tremblay,4,"2:07,01"
2,Sherbrooke 2008 Sebastian Sarateanu,5,"2:08,80"
3,Otterburn 2009 Edouard Rousseau,6,"2:12,31"
8,Otterburn 2009 Alex Doyon,7,"2:13,95"
1,Shawinigan 2010 Yanik Gravel,8,"2:14,04"
9,Lac-Beauport 2009 Jacob Cote,9,"2:16,91"
17:10 Course n° 49 Open hommes K-1 500m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
9,Otterburn 2007 Jacob Levesque,1,"2:00,89"
4,Lac-Beauport 2007 Julien Pomerleau,2,"2:01,71"
3,Lac-Beauport 2008 Leo Roy,3,"2:02,84"
1,Trois-Rivières 2009 Andrew Emond,4,"2:03,10"
6,Trois-Rivières 2008 Bogdan Barba,5,"2:03,47"
5,Otterburn 2006 Arthur Moreau,6,"2:05,42"
7,Lachine 2008 Laurent Rouleau,7,"2:05,72"
2,Trois-Rivières 2008 Benjamin Pelletier,8,"2:05,98"
8,Lachine 2008 Remi Loisel,9,"2:07,62"
17:15 Course n° 50 Open hommes K-1 500m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
6,Pointe-Claire 2005 Cedric Liu,1,"1:56,24"
4,Pointe-Claire 2004 Vladimir Demishkevich,2,"1:56,82"
5,Lac-Beauport 2007 Louis Enzo Roy,3,"1:56,86"
1,Lac-Beauport 2009 Jonathan Pigeon,4,"1:58,70"
3,Lac-Beauport 2007 Xavier Hebert,5,"1:58,79"
7,Trois-Rivières 2006 Felix Albert,6,"2:00,50"
8,Lac-Beauport 2007 Benjamin Gaudet,7,"2:00,62"
9,Lac-Beauport 2009 Victor Girard,8,"2:01,32"
2,Lachine 2007 Zakari Sauve,9,"2:05,00"
17:20 Course n° 51 Open hommes K-1 500m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2003 Nathan Daoust,1,"1:52,65"
6,Trois-Rivières 2004 Jeremy Lantz,2,"1:52,80"
4,Lac-Beauport 2004 Raphael Cote,3,"1:54,59"
7,Lac-Beauport 2007 Thomas Sinotte,4,"1:56,04"
2,Cascades 2006 Leo Carmichael,5,"1:56,83"
9,Trois-Rivières 2005 Jeremy Pelletier,6,"1:57,91"
1,Lac-Beauport 2007 Emrick Leclerc,7,"1:59,08"
3,Pointe-Claire 2006 Emile Paquette,8,"2:01,23"
8,Lac-Beauport 2001 Jerome Desrosiers-Mc Arthur,9,"2:05,89"
