10:50 Course n° 5 Open femmes K-1 500m Éliminatoire 2,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Lachine 2002 Allie Wang,1,"2:20,30"
6,Trois-Rivières 2008 Anais Lapointe,2,"2:21,32"
4,Lachine 2004 Beatrice Charbonneau-Morin,3,"2:28,39"
3,Otterburn 2008 Clara Meuleau,4,"2:29,69"
8,Cartierville 2009 Noemie Brunette,5,"2:30,41"
7,Lac-Sergent 2009 Eloise Hebert,6,"2:32,87"
1,Otterburn 2010 Maelie Boulay,7,"2:34,93"
2,Lac-Beauport 2008 Marie-Odile Levesque,8,"2:37,01"
9,Lac-Sergent 2010 Melyna Cassista,9,"2:39,58"
10:55 Course n° 6 Open femmes K-1 500m Éliminatoire 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Lachine 2004 Ariane Loisel,1,"2:17,60"
6,Sherbrooke 2008 Victoria Lavallee Latour,2,"2:21,72"
4,Otterburn 1992 Claudine Courteau-Godmaire,3,"2:23,04"
3,Cascades 2008 Mia Zahab,4,"2:24,12"
1,Lac-Beauport 2010 Lily Jobin,5,"2:32,78"
8,Lac-Sergent 2009 Sarah-Jeanne Boucher,6,"2:34,72"
7,Sherbrooke 2008 Payton Winsor,7,"2:37,63"
2,Sherbrooke 2008 Marguerite Gareau,8,"2:41,02"
9,,,
11:00 Course n° 7 Open femmes K-1 500m Éliminatoire 4,,,
Couloir,Club Équipage,Résultats,Temps
5,Lachine 2004 Calina Bidal,1,"2:26,61"
6,Lac-Beauport 2008 Margaux Loyer,2,"2:29,53"
3,Lac-Beauport 2010 Maude Vittoz,3,"2:30,38"
4,Lachine 2006 Clara Blanchette,4,"2:30,53"
7,Lac-Beauport 2007 Anne-Sophie Boucher,5,"2:31,12"
2,Cartierville 2008 Laura Desjardins,6,"2:36,11"
8,Pointe-Claire 2009 Sarah-Maude Barrette,7,"2:39,20"
1,Otterburn 2010 Gaelle Doucet,8,"2:43,57"
9,,,
11:05 Course n° 8 Open femmes K-1 500m Éliminatoire 5,,,
Couloir,Club Équipage,Résultats,Temps
5,Trois-Rivières 2006 Mathilde Patry,1,"2:21,92"
7,Trois-Rivières 2007 Maika St-Yves,2,"2:24,66"
2,Pointe-Claire 2008 Abigaelle Legrand,3,"2:27,69"
4,Sherbrooke 2006 Anna-Mariya Izmaylova,4,"2:27,81"
6,Sherbrooke 2007 Megan Champagne,5,"2:28,67"
3,Sherbrooke 2009 Charlie Leclerc,6,"2:35,23"
1,Lac-Beauport 2010 Clarence Dennie-Vaudreuil,7,"2:37,89"
8,Trois-Rivières 2010 Camille Pelletier,8,"2:46,27"
9,,,
