Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Julia DEMCHUK,Calgary,2:01.520,0:00.000
2,6,Brianna SMITH,Maskwa,2:03.767,0:02.247
3,3,Emilee VATERS,Maskwa,2:04.595,0:03.075
4,7,Allie WANG,Lachine,2:05.164,0:03.644
5,2,Marie CHAMBERLAND,Lac-Beauport,2:05.854,0:04.334
6,5,Maren BRADLEY,Rideau,2:05.968,0:04.448
7,9,Mathilde PATRY,Trois Rivieres,2:06.152,0:04.632
8,8,Emily BEST,Rideau,2:07.244,0:05.724
9,1,Calina BIDAL,Lachine,2:07.572,0:06.052
