Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Chloe BRYER,Burloak,2:00.440,0:00.000
2,6,Florence HAMEL,Lachine,2:02.612,0:02.172
3,2,Kristiane FREE,Calgary,2:03.233,0:02.793
4,4,Maren BRADLEY,Rideau,2:04.331,0:03.891
5,7,Emilee VATERS,Maskwa,2:04.434,0:03.994
6,8,Allie WANG,Lachine,2:04.687,0:04.247
7,3,Calina BIDAL,Lachine,2:05.653,0:05.213
8,9,Mathilde PATRY,Trois Rivieres,2:07.348,0:06.908
