Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Ian GAUDET,Banook,3:43.239,0:00.000
2,4,Alex CANNING,Banook,3:50.721,0:07.482
3,6,Alex ERITH-ELLWOOD,Senobe,3:52.624,0:09.385
4,3,Nathan KONÉ,Trois Rivieres,3:59.704,0:16.465
5,7,Cedric LIU,Pointe-Claire,4:05.032,0:21.793
6,2,Alexander HOFEREK,Rideau,4:39.434,0:56.195
