Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Michelle RUSSELL,Abenaki,1:54.604,0:00.000
2,3,Anna ARCHIBALD,Banook,2:00.346,0:05.742
3,7,Florence HAMEL,Lachine,2:05.346,0:10.742
4,6,Brianna SMITH,Maskwa,2:06.087,0:11.483
5,4,Kristiane FREE,Calgary,2:07.932,0:13.328
6,8,Mathilde PATRY,Trois Rivieres,2:10.334,0:15.730
7,2,Jonnie NEWMAN,Calgary,2:11.932,0:17.328
