Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Connor FITZPATRICK,Senobe,4:00.042,0:00.000
2,6,Alix PLOMTEUX,Lac-Beauport,4:02.157,0:02.115
3,3,Andrew BILLARD,Maskwa,4:02.892,0:02.850
4,4,Zachary KRALIK,Mississauga,4:04.076,0:04.034
5,7,Émile BOUVIER,Pointe-Claire,4:06.174,0:06.132
6,8,Nikita CIUDIN,Calgary,4:09.772,0:09.730
7,2,Bret HIMMELMAN,Maskwa,4:11.691,0:11.649
8,9,Peter BRADLEY,Rideau,4:15.588,0:15.546
9,1,Viktor HARDY,Lac-Beauport,4:26.002,0:25.960
