9:25 AM - Race #199 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Megan CHAMPAGNE, Victoria LAVALLÉE-
LATOUR",Sherbrooke,2:02.728,0:00.000
2,4,"Justine TREMBLAY, Maude VITTOZ",Lac-Beauport,2:03.445,0:00.717
3,5,"Marin MACNEIL, Catherine NORMAN",Mic Mac,2:08.500,0:05.772
4,8,"Malya GAGNON, Beatrice OGER",Rideau,2:08.750,0:06.022
5,1,"Honour MCQUAY, Josie PATCHELL",Carleton Place,2:09.384,0:06.656
6,3,"Flavie LANGLOIS, Margaux LOYER",Lac-Beauport,2:09.561,0:06.833
7,7,"Charlie LECLERC, Noémie PERREAULT",Sherbrooke,2:09.889,0:07.161
8,2,"Isabel CHRISTIE, Brooklyn KEIZER",Mic Mac,2:11.061,0:08.333
